Date,Surf Spot,VV,VH
2025-01-01,Arugam Bay,-16.78517266954424,-26.609731336164693
2025-01-01,Dalawella,-17.71035406564602,-27.57724328357616
2025-01-01,Devils rock,-17.667725954727075,-27.08632043080303
2025-01-01,"Dewata, Galle",-15.18815674929445,-25.099895794964276
2025-01-01,Elephant rock,-16.126728769454104,-25.71852851230943
2025-01-01,Hikkaduwa,-16.30172998680211,-26.724843987225743
2025-01-01,Hiriketiya,-14.878332323000738,-26.79092038362052
2025-01-01,Bentota,-15.498229927099533,-25.428604679164312
2025-01-01,Koggala Lefts,-16.862145537327372,-26.061105059992766
2025-01-01,Ahangama,-17.30925485660091,-26.622811763776213
2025-01-01,Madiha,-15.230493049622682,-26.21055236325576
2025-01-01,Matara,-14.265082964322033,-25.54845585954064
2025-01-01,Midigama Left (market),-17.03048427958759,-26.438710119157406
2025-01-01,Midigama Right,-17.309986024481887,-26.700939602593586
2025-01-01,Mirissa,-16.217250306064155,-26.468578863388103
2025-01-01,Okanda,-15.111565635809626,-25.442096846116385
2025-01-01,Peanuts Farm,-16.041139423791765,-25.686411715611
2025-01-01,Pottuvil Point,-16.432169141184314,-26.134501909655356
2025-01-01,Rockside Induruwa,-15.580822501576346,-25.380244792475278
2025-01-01,South Beach,-17.024688743864218,-26.22099982860548
2025-01-01,Thalpe,-17.23453171636805,-26.777290841711178
2025-01-01,Thalyadi,-15.533669249917859,-27.419297847952144
2025-01-01,Unawatuna,-17.58166072989821,-27.68311110364334
2025-01-01,Weligama,-14.645524297829198,-24.051084262734808
2025-01-01,Whiskey Point,-16.3375917543647,-25.976889270897306
